cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0000788,naive B cell,"['mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,,
CL:0000970,unswitched memory B cell,"['memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,leukocyte,leukocyte,leukocyte,
CL:0000972,class switched memory B cell,"['memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,leukocyte,leukocyte,leukocyte,
CL:0000786,plasma cell,"['antibody secreting cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",lymphocyte,lymphocyte,lymphocyte,,
CL:0000817,precursor B cell,"['B cell, CD19-positive', 'B cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",B cell,B cell,lymphocyte,lymphocyte,
CL:0000939,"CD16-positive, CD56-dim natural killer cell, human","['mature natural killer cell', 'natural killer cell', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",natural killer cell,natural killer cell,innate lymphoid cell,innate lymphoid cell,lymphocyte
CL:0000907,"central memory CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta memory T cell, CD45RO-positive', 'CD8-positive, alpha-beta memory T cell', 'CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0000826,pro-B cell,"['lymphoid lineage restricted progenitor cell', 'hematopoietic lineage restricted progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic precursor cell,hematopoietic cell,
CL:0000913,"effector memory CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta memory T cell, CD45RO-positive', 'CD8-positive, alpha-beta memory T cell', 'CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0000909,"CD8-positive, alpha-beta memory T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000897,"CD4-positive, alpha-beta memory T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000816,immature B cell,"['B cell, CD19-positive', 'B cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",B cell,B cell,lymphocyte,lymphocyte,
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human","['mature natural killer cell', 'natural killer cell', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",natural killer cell,natural killer cell,innate lymphoid cell,innate lymphoid cell,lymphocyte
CL:0000798,gamma-delta T cell,"['T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,lymphocyte,,,
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
