gene_name,cell_type,is_tf,source,category
TSPAN8,endothelial_cells,False,panglao,endothelial
KLK1,endothelial_cells,False,panglao,endothelial
RNASE1,endothelial_cells,False,panglao,endothelial
LUM,endothelial_cells,False,panglao,endothelial
LOX,endothelial_cells,False,panglao,endothelial
DPT,endothelial_cells,False,panglao,endothelial
ISLR,endothelial_cells,False,panglao,endothelial
CAV1,endothelial_cells,False,panglao,endothelial
COL3A1,endothelial_cells,False,panglao,endothelial
LMOD1,endothelial_cells,False,panglao,endothelial
TIMP3,endothelial_cells,False,panglao,endothelial
COL4A1,endothelial_cells,False,panglao,endothelial
SRPX,endothelial_cells,False,panglao,endothelial
ADAMTS1,endothelial_cells,False,panglao,endothelial
STAB1,endothelial_cells,False,panglao,endothelial
COL1A2,endothelial_cells,False,panglao,endothelial
EPAS1,endothelial_cells,True,panglao,endothelial
ADH1B,endothelial_cells,False,panglao,endothelial
AQP1,endothelial_cells,False,panglao,endothelial
CYP1B1,endothelial_cells,False,panglao,endothelial
ABCA8,endothelial_cells,False,panglao,endothelial
PLSCR4,endothelial_cells,False,panglao,endothelial
CFH,endothelial_cells,False,panglao,endothelial
TNS1,endothelial_cells,False,panglao,endothelial
TNS2,endothelial_cells,False,panglao,endothelial
CCL21,endothelial_cells,False,panglao,endothelial
ADGRL4,endothelial_cells,False,panglao,endothelial
ACVRL1,endothelial_cells,False,panglao,endothelial
MEDAG,endothelial_cells,False,panglao,endothelial
BGN,endothelial_cells,False,panglao,endothelial
FMO2,endothelial_cells,False,panglao,endothelial
PODN,endothelial_cells,False,panglao,endothelial
FABP4,endothelial_cells,False,panglao,endothelial
FMOD,endothelial_cells,False,panglao,endothelial
ANGPTL2,endothelial_cells,False,panglao,endothelial
CCL14,endothelial_cells,False,panglao,endothelial
ROBO4,endothelial_cells,False,panglao,endothelial
ESM1,endothelial_cells,False,panglao,endothelial
XDH,endothelial_cells,False,panglao,endothelial
PDGFRB,endothelial_cells,False,panglao,endothelial
PDGFRA,endothelial_cells,False,panglao,endothelial
CXCL12,endothelial_cells,False,panglao,endothelial
CLEC3B,endothelial_cells,False,panglao,endothelial
POSTN,endothelial_cells,False,panglao,endothelial
ADGRF5,endothelial_cells,False,panglao,endothelial
HTRA3,endothelial_cells,False,panglao,endothelial
COX7A1,endothelial_cells,False,panglao,endothelial
C1QTNF5,endothelial_cells,False,panglao,endothelial
IGFBP7,endothelial_cells,False,panglao,endothelial
C1QTNF1,endothelial_cells,False,panglao,endothelial
NNMT,endothelial_cells,False,panglao,endothelial
HSPB6,endothelial_cells,False,panglao,endothelial
CLEC14A,endothelial_cells,False,panglao,endothelial
TBX1,endothelial_cells,True,panglao,endothelial
SOD3,endothelial_cells,False,panglao,endothelial
DCN,endothelial_cells,False,panglao,endothelial
C1R,endothelial_cells,False,panglao,endothelial
C1S,endothelial_cells,False,panglao,endothelial
COL15A1,endothelial_cells,False,panglao,endothelial
IL33,endothelial_cells,False,panglao,endothelial
FOXF2,endothelial_cells,True,panglao,endothelial
FOXF1,endothelial_cells,True,panglao,endothelial
GNG11,endothelial_cells,False,panglao,endothelial
VEGFC,endothelial_cells,False,panglao,endothelial
LAMA4,endothelial_cells,False,panglao,endothelial
SLC38A5,endothelial_cells,False,panglao,endothelial
DPP4,endothelial_cells,False,panglao,endothelial
PROX1,endothelial_cells,True,panglao,endothelial
RAMP2,endothelial_cells,False,panglao,endothelial
LDB2,endothelial_cells,False,panglao,endothelial
CD36,endothelial_cells,False,panglao,endothelial
SPARCL1,endothelial_cells,False,panglao,endothelial
ETS1,endothelial_cells,True,panglao,endothelial
SLCO1C1,endothelial_cells,False,panglao,endothelial
EDNRB,endothelial_cells,False,panglao,endothelial
FLI1,endothelial_cells,True,panglao,endothelial
RASGRP3,endothelial_cells,False,panglao,endothelial
CD55,endothelial_cells,False,panglao,endothelial
TM4SF1,endothelial_cells,False,panglao,endothelial
CD9,endothelial_cells,False,panglao,endothelial
MYLK,endothelial_cells,True,panglao,endothelial
EMP1,endothelial_cells,False,panglao,endothelial
ADIRF,endothelial_cells,False,panglao,endothelial
CD93,endothelial_cells,False,panglao,endothelial
ID1,endothelial_cells,True,panglao,endothelial
LTC4S,endothelial_cells,False,panglao,endothelial
A2M,endothelial_cells,False,panglao,endothelial
LIFR,endothelial_cells,False,panglao,endothelial
ABCG2,endothelial_cells,False,panglao,endothelial
CCN2,endothelial_cells,False,panglao,endothelial
SOX18,endothelial_cells,True,panglao,endothelial
GJA5,endothelial_cells,False,panglao,endothelial
GPIHBP1,endothelial_cells,False,panglao,endothelial
RASL12,endothelial_cells,False,panglao,endothelial
FHL2,endothelial_cells,True,panglao,endothelial
CXCL1,endothelial_cells,False,panglao,endothelial
MGP,endothelial_cells,False,panglao,endothelial
SPARC,endothelial_cells,False,panglao,endothelial
BMP2,endothelial_cells,False,panglao,endothelial
RHOJ,endothelial_cells,False,panglao,endothelial
NRP2,endothelial_cells,False,panglao,endothelial
VWA1,endothelial_cells,False,panglao,endothelial
APLNR,endothelial_cells,False,panglao,endothelial
PLAC8,endothelial_cells,False,panglao,endothelial
DNASE1L3,endothelial_cells,False,panglao,endothelial
GIMAP5,endothelial_cells,False,panglao,endothelial
PDPN,endothelial_cells,False,panglao,endothelial
AQP7,endothelial_cells,False,panglao,endothelial
S100A10,endothelial_cells,False,panglao,endothelial
PODXL,endothelial_cells,False,panglao,endothelial
PECAM1,endothelial_cells,False,panglao,endothelial
HEXIM1,endothelial_cells,False,panglao,endothelial
GLYCAM1,endothelial_cells,False,panglao,endothelial
APLN,endothelial_cells,False,panglao,endothelial
RBP7,endothelial_cells,False,panglao,endothelial
IFI27,endothelial_cells,False,panglao,endothelial
TEK,endothelial_cells,False,panglao,endothelial
RAMP3,endothelial_cells,False,panglao,endothelial
RASIP1,endothelial_cells,False,panglao,endothelial
DLL4,endothelial_cells,False,panglao,endothelial
CRHBP,endothelial_cells,False,panglao,endothelial
KDR,endothelial_cells,False,panglao,endothelial
S100A13,endothelial_cells,False,panglao,endothelial
PTGDS,endothelial_cells,False,panglao,endothelial
PRKCH,endothelial_cells,False,panglao,endothelial
MCAM,endothelial_cells,False,panglao,endothelial
EHD3,endothelial_cells,False,panglao,endothelial
HSPG2,endothelial_cells,False,panglao,endothelial
GPR182,endothelial_cells,False,panglao,endothelial
CHST1,endothelial_cells,False,panglao,endothelial
NOSTRIN,endothelial_cells,False,panglao,endothelial
GPM6A,endothelial_cells,False,panglao,endothelial
PCDH12,endothelial_cells,False,panglao,endothelial
CASZ1,endothelial_cells,False,panglao,endothelial
WFDC1,endothelial_cells,False,panglao,endothelial
PDGFB,endothelial_cells,False,panglao,endothelial
ELK3,endothelial_cells,True,panglao,endothelial
ICAM1,endothelial_cells,False,panglao,endothelial
ICAM2,endothelial_cells,False,panglao,endothelial
C7,endothelial_cells,False,panglao,endothelial
GJA4,endothelial_cells,False,panglao,endothelial
SOX17,endothelial_cells,True,panglao,endothelial
SCARF1,endothelial_cells,False,panglao,endothelial
SOX7,endothelial_cells,True,panglao,endothelial
SYNPO,endothelial_cells,False,panglao,endothelial
PCAT19,endothelial_cells,False,panglao,endothelial
CCL23,endothelial_cells,False,panglao,endothelial
TCF15,endothelial_cells,True,panglao,endothelial
LYVE1,endothelial_cells,False,panglao,endothelial
IL1A,endothelial_cells,False,panglao,endothelial
SLC7A5,endothelial_cells,False,panglao,endothelial
PTPRB,endothelial_cells,False,panglao,endothelial
