,dataset_id,n_cells
0,0041b9c3-6a49-4bf7-8514-9bc7190067a7,9424
1,00476f9f-ebc1-4b72-b541-32f912ce36ea,10099
2,00e5dedd-b9b7-43be-8c28-b0e5c6414a62,21422
3,00ff600e-6e2e-4d76-846f-0eec4f0ae417,363
4,01209dce-3575-4bed-b1df-129f57fbc031,51876
5,0129dbd9-a7d3-4f6b-96b9-1da155a93748,244474
6,015c230d-650c-4527-870d-8a805849a382,148374
7,019c7af2-c827-4454-9970-44d5e39ce068,12590
8,01ad3cd7-3929-4654-84c0-6db05bd5fd59,600929
9,01c93cf6-b695-4e30-a26e-121ae8b16a9e,3726
10,02792605-4760-4023-82ad-40fc4458a5db,89637
11,03181d87-4769-41e7-8c39-d9a81835f0d2,71545
12,0325478a-9b52-45b5-b40a-2e2ab0d72eb1,455006
13,0374f03c-62e2-4859-8a14-acb00b0627d5,14871
14,03c544fb-a103-4d18-9230-eae9cfee3af2,28691
15,03d38670-1444-4001-bc53-9936e61d9b20,20027
16,03d5794d-cde9-4769-a1a9-b3899d2b1d87,9015
17,04a23820-ffa8-4be5-9f65-64db15631d1e,137162
18,04b0eb97-d816-44bb-93a5-8b2968791aa0,4163
19,04c0bdd8-840f-488e-b72d-2a1229bc65db,18524
20,04c94a7d-1133-42c9-bb48-c697bd302a8d,109618
21,04d87de6-c20a-4186-8884-f47dba20b0a4,3206
22,055ca631-6ffb-40de-815e-b931e10718c0,41305
23,066943a2-fdac-4b29-b348-40cede398e4e,584944
24,06b91002-4d3d-4d2e-8484-20c3b31e232c,5500
25,06ef6b36-6c9b-4e10-8a94-d0baf274276e,10533
26,07428d73-fdea-4bd4-a801-94b00c4d961c,2361
27,07760522-707a-4a1c-8891-dbd1226d6b27,33506
28,07854d9c-5375-4a9b-ac34-fa919d3c3686,172847
29,07b1d7c8-5c2e-42f7-9246-26f746cd6013,27210
30,08073b32-d389-41f4-a4fd-616de76915ab,10790
31,0895c838-e550-48a3-a777-dbcd35d30272,146
32,090da8ea-46e8-40df-bffc-1f78e1538d27,24190
33,093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,193108
34,095940cb-7422-4510-96e2-cbafd961eb88,52045
35,0a21f80c-e7a3-465b-8aba-fdda2b4c36bc,76994
36,0b4a15a7-4e9e-4555-9733-2423e5c66469,48783
37,0b75c598-0893-4216-afe8-5414cab7739d,304652
38,0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,6947
39,0ba636a1-4754-4786-a8be-7ab3cf760fd6,803283
40,0bc7235a-ae5a-479d-a487-510435377e55,120807
41,0c86f0de-ddcb-454c-b00b-37feb69e7da1,3524
42,0c9a8cfb-6649-4d52-b418-6d8e56bd7afe,1011
43,0ced5e76-6040-47ff-8a72-93847965afc0,33664
44,0d2ee4ac-05ee-40b2-afb6-ebb584caa867,35682
45,0d7f4c06-a6bd-47d2-a42b-3a7196704f77,9932
46,0e9d47fb-89b1-42d8-b426-2c7630b5f5fa,29505
