Gene/Factor,"Cell Type(s)","Context/Function","Source(s)"
"AAVP","Hematopoietic progenitors","Lineage-specific gene marker","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"ABCB7","MDS cells","Gene potentially mis-spliced in SF3B1-mutant MDS, causing ring sideroblast formation","Cortés-López 2023 (Cell Stem Cell)"
"ACE","Human dermal fibroblasts (HDFs)","Marker for hemogenic endothelial-like cells derived from reprogrammed fibroblasts","Daniel 2019"
"ADT","General (Technology)","Antibody-Derived Tag (used in CITE-seq)","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"AhR","HSPC","Aryl hydrocarbon receptor; pathway involved in HSPC expansion/maintenance","Barcia Durán 2019"
"APOE","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"ATF3","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"BACH2","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"BAK1","TF-1 (Erythroid leukemia cell line)","Pro-apoptotic Bcl-2 family member; functionally redundant with BAX","Cortés-López 2023 (Cell Stem Cell)"
"BATF","Hematopoietic progenitors","TF motif with high variability in hematopoietic CALs","Buenrostro 2018"
"BAX","Hematopoietic progenitors (MDS/CH); TF-1 cells","Pro-apoptotic Bcl-2 family member; BAX-w isoform (NMD-neutral) induced by SF3B1 mut; potentially anti-apoptotic","Cortés-López 2023 (Cell Stem Cell)"
"BCL11A","HSC; Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility increases sharply in GMP->Mono transition; variability correlated with erythroid trajectory in HSCs","Buenrostro 2018"
"BCL11B","Lymphoid lineage","TF differentially expressed along lymphoid branch","Pellin 2019"
"BLVRB","Hematopoietic progenitors","Lineage-specific gene marker","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"BMI1","MEF (reprogramming context); B-cell progenitors","Repressor; RUNX1 target; used in TF reprogramming cocktail (fibroblasts -> hematopoietic cells)","Barcia Durán 2019"
"BMP4","Fibroblasts; Pluripotent Stem Cells (PCS)","Signaling molecule; used in reprogramming/differentiation cocktails","Barcia Durán 2019"
"BPTF","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"BST2","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
"CA1","Hematopoietic progenitors","Lineage-specific gene marker","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"CASP8","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"CCNE1","EP (SF3B1mut)","Positive regulator of G1/S transition; upregulated in SF3B1mut EPs","Cortés-López 2023 (Cell Stem Cell)"
"CD10","CLP","Surface marker used in defining CLP","Buenrostro 2018"
"CD11b","B cells (reprogrammed); Macrophages","Macrophage marker; upregulated during B cell to macrophage reprogramming","Barcia Durán 2019"
"CD11c","(ITGAX) Monocytes","Gene near cis-eQTL affected by dynamic enhancer","Buenrostro 2018"
"CD123","GMP; pDC","(IL3RA) Surface marker used in defining GMP subsets & pDCs; receptor for IL3","Buenrostro 2018"
"CD14","Monocytes (contaminating CD34+ sort)","Monocyte marker; observed in CD34+ sorted fraction","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"CD164","Hematopoietic progenitors (Lin-)","Sialomucin marker used to fractionate Lin- progenitors; high expression marks primitive progenitors","Pellin 2019"
"CD19","B cells","B cell marker","Barcia Durán 2019"
"CD34","HSC; Progenitors (MPP; CLP; CMP; GMP; MEP; HE; reprogrammed fibroblasts/ECs)","HSC/progenitor/hemogenic endothelium marker","Cortés-López 2023 Suppl.;Buenrostro 2018;Cortés-López 2023 (Cell Stem Cell);Barcia Durán 2019;Daniel 2016;Daniel 2019;Pellin 2019"
