bc_wells,subcluster
04_01_03,D7_1
04_01_10,D7_1
04_01_16,D7_1
04_01_21,D7_2
04_01_27,D7_1
04_01_47,D7_1
04_01_60,D7_2
04_02_05,D7_1
04_02_16,D7_3
04_02_44,D7_2
04_02_46,D7_4
04_02_60,D7_1
04_02_71,D7_2
04_02_72,D7_1
04_03_23,D7_2
04_03_28,D7_3
04_03_37,D7_2
04_03_67,D7_3
04_03_94,D7_1
04_04_24,D7_1
04_04_39,D7_2
04_04_56,D7_1
04_04_65,D7_1
04_04_72,D7_2
04_04_86,D7_2
04_05_18,D7_4
04_05_27,D7_2
04_05_29,D7_4
04_05_92,D7_2
04_06_16,D7_4
04_06_49,D7_3
04_06_71,D7_1
04_06_74,D7_4
04_06_80,D7_1
04_07_10,D7_1
04_07_13,D7_4
04_07_37,D7_1
04_07_48,D7_3
04_07_54,D7_2
04_08_34,D7_1
04_08_86,D7_2
04_09_69,D7_1
04_10_15,D7_4
04_10_24,D7_1
04_10_30,D7_2
04_10_45,D7_1
04_10_76,D7_1
04_10_85,D7_2
04_10_86,D7_2
04_10_87,D7_1
04_10_89,D7_1
04_10_90,D7_2
04_11_16,D7_1
04_11_17,D7_1
04_11_26,D7_4
04_11_45,D7_4
04_11_65,D7_2
04_11_88,D7_4
04_12_04,D7_1
04_12_08,D7_2
04_12_30,D7_4
04_12_35,D7_2
04_12_50,D7_1
04_12_83,D7_2
04_13_04,D7_1
04_13_05,D7_1
04_13_07,D7_2
04_13_14,D7_1
04_13_20,D7_1
04_13_50,D7_1
04_13_67,D7_1
04_14_13,D7_1
04_14_19,D7_2
04_14_44,D7_2
04_14_71,D7_1
04_14_75,D7_3
04_14_87,D7_4
04_15_01,D7_1
04_15_06,D7_4
04_15_23,D7_2
04_15_34,D7_1
04_15_37,D7_1
04_15_41,D7_3
04_15_73,D7_2
04_15_82,D7_3
04_15_85,D7_1
04_16_25,D7_2
04_16_51,D7_1
04_16_56,D7_1
04_17_23,D7_2
04_17_74,D7_2
04_17_96,D7_1
04_18_06,D7_4
04_18_31,D7_2
04_18_73,D7_1
04_18_86,D7_2
04_18_89,D7_1
04_18_92,D7_2
04_19_09,D7_2
04_19_29,D7_2
04_19_32,D7_1
04_19_64,D7_2
04_19_87,D7_1
04_19_95,D7_1
04_20_31,D7_1
04_20_36,D7_1
04_20_38,D7_1
04_20_39,D7_4
04_20_43,D7_4
04_21_08,D7_2
04_21_28,D7_2
04_21_36,D7_1
04_21_67,D7_4
04_21_73,D7_1
04_21_94,D7_1
04_22_05,D7_4
04_22_32,D7_4
04_22_41,D7_2
04_22_55,D7_1
04_22_58,D7_1
04_23_43,D7_4
04_23_53,D7_1
04_23_54,D7_1
04_23_86,D7_4
04_23_95,D7_1
04_24_02,D7_4
04_24_04,D7_1
04_24_08,D7_1
04_24_16,D7_4
04_24_19,D7_1
04_24_22,D7_1
04_24_23,D7_2
04_24_36,D7_1
04_24_48,D7_1
04_24_52,D7_1
04_24_54,D7_1
04_24_59,D7_3
04_24_71,D7_3
04_24_79,D7_4
04_24_83,D7_2
04_24_85,D7_3
04_24_93,D7_1
04_25_03,D7_4
04_25_07,D7_3
04_25_18,D7_1
04_25_53,D7_2
04_25_60,D7_1
04_26_01,D7_4
04_26_04,D7_1
04_26_50,D7_1
04_26_63,D7_4
04_27_17,D7_1
04_27_30,D7_1
04_27_36,D7_1
04_27_67,D7_1
04_28_62,D7_1
04_28_67,D7_2
04_28_73,D7_2
04_28_76,D7_3
04_29_48,D7_2
04_29_93,D7_1
04_30_42,D7_2
04_30_51,D7_1
04_30_67,D7_1
04_30_86,D7_3
04_31_04,D7_1
04_31_24,D7_4
04_31_41,D7_1
04_31_65,D7_1
04_32_43,D7_1
04_32_44,D7_3
04_32_51,D7_2
04_32_75,D7_4
04_32_87,D7_1
04_32_93,D7_4
04_33_19,D7_1
04_33_21,D7_2
04_33_43,D7_1
04_33_52,D7_1
04_33_65,D7_2
04_34_02,D7_4
04_34_10,D7_2
04_34_16,D7_4
04_34_24,D7_1
04_34_31,D7_1
04_34_44,D7_2
04_35_03,D7_1
04_35_29,D7_3
04_35_36,D7_1
04_35_39,D7_2
04_35_54,D7_3
04_35_96,D7_4
04_36_04,D7_1
04_36_64,D7_1
04_36_93,D7_2
04_37_26,D7_1
04_37_27,D7_4
04_37_64,D7_1
04_37_67,D7_2
04_38_01,D7_2
04_38_14,D7_1
04_38_18,D7_4
04_38_30,D7_1
04_38_45,D7_1
04_38_69,D7_4
04_38_84,D7_1
04_38_85,D7_1
04_39_07,D7_1
04_39_31,D7_2
04_39_41,D7_1
04_39_66,D7_3
04_39_67,D7_1
04_39_68,D7_1
04_40_09,D7_3
04_40_10,D7_1
04_40_16,D7_2
04_40_20,D7_3
04_40_23,D7_4
04_40_30,D7_1
04_40_36,D7_1
04_40_50,D7_3
04_40_56,D7_2
04_40_59,D7_1
04_40_63,D7_4
04_40_73,D7_4
04_40_92,D7_1
04_40_96,D7_3
04_41_52,D7_4
